Date,Description,Amount,Balance
11/30/2021 12:30PM,Global Village Cantina & Grille 2 [1591],-14.97,337.07
11/29/2021 06:30PM,Cafe & Market at Crossroads 3 [1563],-10.58,352.04
11/29/2021 04:32PM,GOS_A910_95_SNACK,-1.60,362.62
11/29/2021 10:39AM,Ctrl Alt DELi 1 [1595],-6.89,364.22
11/28/2021 03:29PM,The Corner Store 2 [1551],-45.63,371.11
11/23/2021 10:44PM,The Corner Store 2 [1551],-24.76,416.74
11/23/2021 04:49PM,Ctrl Alt DELi 1 [1595],-8.69,441.50
11/23/2021 11:59AM,Cafe & Market at Crossroads 2 [1562],-9.99,450.19
11/22/2021 04:54PM,Artesano Bakery & Cafe 1 [1500],-5.05,460.18
11/22/2021 02:01PM,Ben & Jerry's 1 [1616],-8.58,465.23
11/22/2021 01:51PM,Brick City Cafe 1 [1515],-9.99,473.81
11/22/2021 09:08AM,Ctrl Alt DELi 1 [1595],-8.69,483.80
11/19/2021 01:53PM,Midnight Oil 1 [1600],-5.05,492.49
11/19/2021 12:25PM,Cafe & Market at Crossroads 2 [1562],-9.99,497.54
11/18/2021 05:06PM,RITz Sports Zone 2 [1802],-9.99,507.53
11/18/2021 03:08PM,Midnight Oil 1 [1600],-6.35,517.52
11/18/2021 01:03PM,Cafe & Market at Crossroads 2 [1562],-9.99,523.87
11/18/2021 10:40AM,Ctrl Alt DELi 1 [1595],-6.89,533.86
11/17/2021 06:31PM,RITz Sports Zone 2 [1802],-9.99,540.75
11/17/2021 03:02PM,Beanz 1 [1505],-6.29,550.74
11/17/2021 12:02PM,RITz Sports Zone 2 [1802],-9.99,557.03
11/17/2021 11:07AM,Ctrl Alt DELi 1 [1595],-6.89,567.02
11/16/2021 05:08PM,RITz Sports Zone 2 [1802],-9.99,573.91
11/16/2021 03:01PM,Midnight Oil 1 [1600],-6.75,583.90
11/16/2021 01:53PM,USC_1910_71_SNACK,-1.60,590.65
11/15/2021 04:02PM,GOS_A914_89_SNACK,-1.60,592.25
11/15/2021 04:02PM,GOS_A910_95_SNACK,-2.35,593.85
11/15/2021 01:06PM,Cafe & Market at Crossroads 2 [1562],-13.62,596.20
11/15/2021 09:47AM,Ctrl Alt DELi 1 [1595],-6.89,609.82
11/14/2021 12:31PM,The Commons 1 [1630],-8.98,616.71
11/13/2021 06:19PM,The Commons 1 [1630],-17.48,625.69
11/13/2021 12:14PM,The Commons 1 [1630],-14.74,643.17
11/12/2021 07:33PM,Global Village Cantina & Grille 3 [1592],-15.92,657.91
11/12/2021 12:33PM,Cafe & Market at Crossroads 2 [1562],-9.99,673.83
11/11/2021 01:41PM,Cafe & Market at Crossroads 2 [1562],-9.99,683.82
11/11/2021 10:42AM,Ctrl Alt DELi 1 [1595],-10.28,693.81
11/10/2021 06:42PM,Global Village Cantina & Grille 2 [1591],-12.38,704.09
11/10/2021 12:07PM,RITz Sports Zone 2 [1802],-12.49,716.47
11/09/2021 02:44PM,Beanz 1 [1505],-4.69,728.96
11/09/2021 12:50PM,Cafe & Market at Crossroads 2 [1562],-9.99,733.65
11/08/2021 08:57PM,Beanz 1 [1505],-8.19,743.64
11/08/2021 06:31PM,Beanz 1 [1505],-9.14,751.83
11/08/2021 02:21PM,Cafe & Market at Crossroads 3 [1563],-20.32,760.97
11/08/2021 10:25AM,Ctrl Alt DELi 1 [1595],-6.89,781.29
11/07/2021 07:56PM,Beanz 1 [1505],-6.88,788.18
11/07/2021 07:25PM,Cafe & Market at Crossroads 1 [1561],-15.37,795.06
11/07/2021 03:11PM,Cafe & Market at Crossroads 2 [1562],-9.99,810.43
11/06/2021 07:26PM,The Corner Store 2 [1551],-12.58,820.42
11/06/2021 06:53PM,The Commons 2 [1576],-9.99,833.00
11/06/2021 02:37PM,The Commons 1 [1630],-10.18,842.99
11/05/2021 06:58PM,Global Village Cantina & Grille 2 [1591],-22.57,853.17
11/05/2021 01:47PM,Cafe & Market at Crossroads 2 [1562],-9.99,875.74
11/04/2021 05:43PM,Beanz 1 [1505],-12.39,885.73
11/04/2021 01:36PM,Global Village Cantina & Grille 2 [1591],-12.38,898.12
11/04/2021 10:21AM,Ctrl Alt DELi 1 [1595],-6.89,910.50
11/03/2021 08:25PM,Beanz 1 [1505],-2.19,917.39
11/03/2021 08:06PM,Beanz 1 [1505],-9.14,919.58
11/03/2021 03:51PM,Cafe & Market at Crossroads 3 [1563],-13.92,928.72
11/03/2021 02:27PM,GOL_3941_59_BEVERAGE,-2.00,942.64
11/03/2021 11:05AM,Ctrl Alt DELi 1 [1595],-8.58,944.64
11/02/2021 08:18PM,Beanz 1 [1505],-6.50,953.22
11/02/2021 05:37PM,Beanz 1 [1505],-3.25,959.72
11/02/2021 05:13PM,Beanz 1 [1505],-9.14,962.97
11/02/2021 12:37PM,Cafe & Market at Crossroads 2 [1562],-9.99,972.11
11/02/2021 10:59AM,Ctrl Alt DELi 1 [1595],-6.89,982.10
11/01/2021 07:01PM,Beanz 1 [1505],-4.38,988.99
11/01/2021 01:31PM,Brick City Cafe 1 [1515],-9.99,993.37
11/01/2021 07:31AM,Brick City Cafe 3 [1517],-8.98,1003.36
