Date,Description,Amount,Balance
8/31/2021 06:20PM,Beanz 1 [1505],-5.29,2624.30
8/31/2021 05:52PM,Global Village Cantina & Grille 2 [1591],-9.99,2629.59
8/31/2021 12:54PM,GOL_1940_69_BEVERAGE,-2.25,2639.58
8/31/2021 12:53PM,Ctrl Alt DELi 2 [1800],-6.89,2641.83
8/31/2021 12:32PM,Ctrl Alt DELi 1 [1595],-6.89,2648.72
8/31/2021 09:42AM,Beanz 1 [1505],-8.98,2655.61
8/30/2021 07:15PM,Global Village Cantina & Grille 2 [1591],-9.99,2664.59
8/30/2021 05:03PM,Ctrl Alt DELi 1 [1595],-13.78,2674.58
8/30/2021 01:04PM,Beanz 1 [1505],-5.29,2688.36
8/30/2021 09:10AM,Ctrl Alt DELi 1 [1595],-6.89,2693.65
8/29/2021 06:06PM,Gracies 3 [1808],-7.59,2700.54
8/29/2021 05:51PM,Beanz 1 [1505],-5.29,2708.13
8/28/2021 09:33PM,Sol's Underground OnDemand [1715],-16.87,2713.42
8/28/2021 04:38PM,Global Village Cantina & Grille OnDemand [1704],-13.53,2730.29
8/27/2021 06:04PM,Midnight Oil 1 [1600],-10.04,2743.82
8/27/2021 02:45PM,Beanz 1 [1505],-5.29,2753.86
8/27/2021 12:44PM,RITz Sports Zone 2 [1802],-9.18,2759.15
8/27/2021 07:44AM,Ctrl Alt DELi OnDemand [1710],-6.89,2768.33
8/26/2021 10:20PM,Midnight Oil 1 [1600],-5.49,2775.22
8/26/2021 10:04PM,Midnight Oil 1 [1600],-10.04,2780.71
8/26/2021 05:04PM,Cafe & Market at Crossroads 2 [1562],-13.92,2790.75
8/26/2021 01:21PM,Beanz 1 [1505],-4.69,2804.67
8/26/2021 12:25PM,GOL_3941_59_BEVERAGE,-2.00,2809.36
8/26/2021 10:49AM,Ctrl Alt DELi 1 [1595],-13.78,2811.36
8/25/2021 08:27PM,The Commons 1 [1630],-7.19,2825.14
8/25/2021 07:15PM,Cafe & Market at Crossroads 3 [1563],-13.62,2832.33
8/25/2021 02:29PM,Beanz 1 [1505],-4.69,2845.95
8/25/2021 12:26PM,Ctrl Alt DELi 1 [1595],-6.89,2850.64
8/25/2021 09:53AM,Ctrl Alt DELi 1 [1595],-6.89,2857.53
8/25/2021 07:33AM,Brick City Cafe 1 [1515],-5.39,2864.42
8/24/2021 08:04PM,The Corner Store 2 [1551],-18.87,2869.81
8/24/2021 07:37PM,The Commons 2 [1576],-11.54,2888.68
8/24/2021 03:10PM,Ben & Jerry's 1 [1616],-6.00,2900.22
8/24/2021 01:50PM,Brick City Cafe 1 [1515],-8.49,2906.22
8/24/2021 01:32PM,Brick City Cafe 1 [1515],-8.49,2914.71
8/24/2021 07:57AM,Brick City Cafe 1 [1515],-9.48,2923.20
8/23/2021 08:54PM,The College Grind 1 [1375],-5.25,2932.68
8/23/2021 08:52PM,The Commons 1 [1630],-9.18,2937.93
8/23/2021 07:02PM,Global Village Market 1 [1528],-5.74,2947.11
8/23/2021 01:25PM,Ben & Jerry's 1 [1616],-9.66,2952.85
8/23/2021 12:39PM,Brick City Cafe 3 [1517],-19.58,2962.51
8/22/2021 08:23PM,Campus Concessions 2 [1546],-13.00,2982.09
8/22/2021 07:54PM,Campus Concessions - Tablet 3 [1632],-13.00,2995.09
8/22/2021 03:32PM,The Commons 1 [1630],-11.91,3008.09
8/04/2021 09:01AM,Deposit,3020.00,3020.00
8/04/2021 08:59AM,Admin Tasks,-2918.00,0.00
8/04/2021 08:18AM,Deposit,2918.00,2918.00
