Date,Description,Amount,Balance
10/31/2021 04:17PM,Cafe & Market at Crossroads 4 [1535],-10.19,1012.34
10/30/2021 06:20PM,The Commons 2 [1576],-9.99,1022.53
10/29/2021 04:09PM,Cafe & Market at Crossroads 3 [1563],-13.92,1032.52
10/28/2021 05:07PM,Ctrl Alt DELi 1 [1595],-8.89,1046.44
10/28/2021 02:27PM,GOS_A910_93_BEVERAGE,-2.25,1055.33
10/28/2021 01:11PM,Cafe & Market at Crossroads 2 [1562],-9.99,1057.58
10/28/2021 10:59AM,Ctrl Alt DELi 1 [1595],-3.38,1067.57
10/27/2021 08:30PM,The Corner Store 2 [1551],-30.75,1070.95
10/27/2021 01:09PM,Beanz 1 [1505],-7.48,1101.70
10/27/2021 11:11AM,Cafe & Market at Crossroads 2 [1562],-9.99,1109.18
10/27/2021 09:21AM,Ctrl Alt DELi 1 [1595],-6.89,1119.17
10/26/2021 05:02PM,RITz Sports Zone 2 [1802],-11.98,1126.06
10/26/2021 12:27PM,Cafe & Market at Crossroads 2 [1562],-9.99,1138.04
10/25/2021 09:04PM,Beanz 1 [1505],-8.58,1148.03
10/25/2021 07:01PM,Beanz 1 [1505],-2.19,1156.61
10/25/2021 02:05PM,RITz Sports Zone 2 [1802],-9.99,1158.80
10/24/2021 09:33PM,Beanz 1 [1505],-6.88,1168.79
10/24/2021 03:10PM,The Commons 1 [1630],-13.24,1175.67
10/23/2021 09:37PM,Sol's Underground OnDemand [1715],-30.53,1188.91
10/22/2021 04:26PM,Beanz 1 [1505],-4.38,1219.44
10/21/2021 05:06PM,Midnight Oil 1 [1600],-5.25,1223.82
10/21/2021 02:38PM,Cafe & Market at Crossroads 2 [1562],-9.99,1229.07
10/21/2021 07:40AM,Beanz 1 [1505],-7.48,1239.06
10/20/2021 07:11PM,Beanz 1 [1505],-3.88,1246.54
10/20/2021 07:01PM,Beanz 1 [1505],-2.19,1250.42
10/20/2021 03:23PM,Midnight Oil 1 [1600],-11.93,1252.61
10/20/2021 11:20AM,Brick City Cafe 1 [1515],-9.99,1264.54
10/20/2021 09:02AM,Ctrl Alt DELi 1 [1595],-6.89,1274.53
10/19/2021 04:56PM,Cafe & Market at Crossroads 2 [1562],-9.99,1281.42
10/19/2021 12:32PM,Artesano Bakery & Cafe 1 [1500],-4.35,1291.41
10/19/2021 10:35AM,Ctrl Alt DELi 2 [1800],-9.08,1295.76
10/18/2021 08:41PM,Beanz 1 [1505],-7.48,1304.84
10/18/2021 06:32PM,The Commons 2 [1576],-9.99,1312.32
