Date,Description,Amount,Balance
12/14/2021 04:58PM,Ben & Jerry's 1 [1616],-5.41,0.00
12/14/2021 11:13AM,Ctrl Alt DELi 1 [1595],-6.89,5.41
12/13/2021 07:17PM,Cafe & Market at Crossroads 3 [1563],-8.29,12.30
12/13/2021 03:30PM,GOL_2942_67_SNACK,-1.60,20.59
12/13/2021 03:29PM,GOL_2942_67_SNACK,-2.35,22.19
12/13/2021 01:22PM,Global Village Cantina & Grille 3 [1592],-15.92,24.54
12/12/2021 05:11PM,The Commons 1 [1630],-5.98,40.46
12/12/2021 04:10PM,The Commons 1 [1630],-13.46,46.44
12/11/2021 12:56PM,The Commons 1 [1630],-10.18,59.90
12/10/2021 01:30PM,Cafe & Market at Crossroads 2 [1562],-9.99,70.08
12/10/2021 07:32AM,Brick City Cafe 1 [1515],-14.37,80.07
12/09/2021 06:29PM,The Commons 2 [1576],-16.95,94.44
12/09/2021 12:51PM,Cafe & Market at Crossroads 2 [1562],-4.99,111.39
12/09/2021 07:55AM,Brick City Cafe 1 [1515],-8.37,116.38
12/08/2021 05:38PM,The Commons 1 [1630],-15.98,124.75
12/08/2021 08:02AM,Brick City Cafe 1 [1515],-17.35,140.73
12/07/2021 02:10PM,Cafe & Market at Crossroads 3 [1563],-14.67,158.08
12/06/2021 09:26PM,The Commons 1 [1630],-1.29,172.75
12/06/2021 08:31PM,The Commons 1 [1630],-12.07,174.04
12/06/2021 01:07PM,Brick City Cafe 1 [1515],-3.34,186.11
12/06/2021 01:01PM,Brick City Cafe 1 [1515],-9.99,189.45
12/06/2021 09:01AM,Ctrl Alt DELi 1 [1595],-6.89,199.44
12/05/2021 10:15PM,GOS_A914_89_SNACK,-2.35,206.33
12/05/2021 10:15PM,GOS_A914_89_SNACK,-2.35,208.68
12/05/2021 06:22PM,Cafe & Market at Crossroads 2 [1562],-9.99,211.03
12/05/2021 01:24PM,Beanz 1 [1505],-10.13,221.02
12/04/2021 02:50PM,Global Village Market 1 [1528],-20.27,231.15
12/04/2021 12:08PM,The Commons 1 [1630],-8.03,251.42
12/03/2021 06:53PM,CSD_2050_169_BEVERAGE,-2.25,259.45
12/03/2021 06:40PM,The Commons 1 [1630],-7.58,261.70
12/02/2021 04:58PM,Cafe & Market at Crossroads 3 [1563],-16.28,269.28
12/02/2021 12:24PM,Cafe & Market at Crossroads 2 [1562],-9.99,285.56
12/01/2021 07:20PM,Global Village Cantina & Grille 2 [1591],-16.06,295.55
12/01/2021 01:51PM,Ben & Jerry's 1 [1616],-8.58,311.61
12/01/2021 11:12AM,Global Village Cantina & Grille 2 [1591],-9.99,320.19
12/01/2021 10:07AM,Ctrl Alt DELi 1 [1595],-6.89,330.18
